date,comment
2018-08-15 15:34:29,"I like a softer shoe, feels like it beats up my legs a lot less"
2018-08-17 03:30:10,Love the extreme heart rate change!
2018-08-18 15:45:28,Hmmmm.....I wonder....
2018-08-19 01:24:04,Woof! Sick run! Be sure to recover! 👍
2018-08-19 19:49:51,Sorry my week ends Sunday at 12PM EST.
2018-08-21 13:10:22,What's the streak at now?
2018-08-22 03:17:23,"RIP, how much rain did you get?"
2018-08-22 03:19:12,"If its tightness try using a heat pad on the knee/IT Band/Hips before going, lossens up muscles "
2018-08-23 01:59:25,Yeet
2018-08-23 03:15:59," Coho cafe in Tofte is super good, always go there after BWCAW trips. Cute Pic too!"
2018-08-23 15:17:48,"^ agree with above, lots of guys wear them and they are a nice in between of trainers and track flats"
2018-08-27 23:41:33,Welcome to Minnesota!
2018-08-28 16:26:51,Thats not allisonville road
2018-08-29 16:38:38,Lonely NW Roads are the best!
2018-08-30 12:51:03,So much variety in your runs already!
2018-08-31 00:58:12,A new route?!
2018-09-01 17:08:25,TY
2018-09-01 17:15:57,Sick 1st race dude!!
2018-09-01 19:41:10,Prof pic plz?
2018-09-02 16:59:38,Hiss
2018-09-03 17:05:43,Ya only 73 and 95% humidity in minneapolis today
2018-09-03 20:13:45,Now get to Olaf!
2018-09-05 23:58:26,Thats well under world record pace
2018-09-06 00:19:45,Probably is one tbh
2018-09-07 01:05:10,Profile pic
2018-09-10 14:28:17,Prof pic plz
2018-09-13 01:48:53,It slithered away
2018-09-20 04:03:54,Pride sticks together👍🦁🦁🦁🦁🦁🦁🦁
2018-09-21 14:39:46,Hmmmmm. 6:59 average isn't 70:00 for 10 miles.....
2018-09-23 20:32:14,Wrong time/direction
2018-09-26 00:57:25,"Mooncake was later that night, so not that"
2018-09-26 01:13:51,"Vegetables in the caf, is the rumor"
2018-09-27 03:53:53,Thank god! 😜
2018-09-28 19:00:18,Seems like you slowed her down
2018-09-29 00:46:08,🦁🦁🦁🦁🦁🦁🦁
2018-09-29 00:46:17,🦁🦁🦁🦁🦁🦁
2018-09-29 00:46:25,🦁🦁🦁🦁🦁🦁🦁
2018-09-29 04:57:21,🦁🦁🦁🦁🦁🦁🦁
2018-09-29 04:58:00,🦁🦁🦁🦁🦁🦁🦁
2018-09-29 21:04:43,"first
"
2018-09-30 18:19:36,Go help people check out books liam
2018-10-01 01:07:19,🦁🦁🦁🦁🦁🦁🦁
2018-10-07 21:51:42,Hmmmm
2018-10-23 03:20:01,Don't be afraid to go your own pace
2018-10-24 03:20:02,"Good, now go to bed!"
2018-10-29 02:58:07,Good plan!
2018-11-07 01:03:41,.2?!?!?!?!?!
2018-11-08 02:47:34,Got your shoes?
2018-11-08 02:50:31,"Dude, you're gonna be fine! You've done the work, time to roll!!!"
2018-11-09 02:13:48,🙁
2018-11-09 03:58:36,Hey i said it during the run! 😛😘
2018-11-09 03:59:16,Profile pic plz
2018-11-09 17:36:56,Ty for the quotes
2018-11-09 17:40:45,That's not paper coach
2018-11-12 01:18:23,Back on allisonville road?
2018-11-12 01:22:22,Busy roads are the best....
2018-11-13 00:34:22,Ill snap it to you
2018-11-14 02:43:28,SkOles!
